대여일자,대여시간,대여소번호,대여소명,이용건수,월,일,요일,지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%),요일_0,요일_1,요일_2,요일_3,요일_4,요일_5,요일_6
2022-01-07,20,502,502. 뚝섬유원지역 1번출구 앞,5,1,7,4,108,서울,2022-01-07 20:00:00,-0.5,0.0,1.8,46,0,0,0,0,1,0,0
2022-01-07,21,502,502. 뚝섬유원지역 1번출구 앞,7,1,7,4,108,서울,2022-01-07 21:00:00,-1.3,0.0,2.1,50,0,0,0,0,1,0,0
2022-01-07,22,502,502. 뚝섬유원지역 1번출구 앞,1,1,7,4,108,서울,2022-01-07 22:00:00,-1.9,0.0,1.8,53,0,0,0,0,1,0,0
2022-01-07,23,502,502. 뚝섬유원지역 1번출구 앞,6,1,7,4,108,서울,2022-01-07 23:00:00,-2.2,0.0,1.0,55,0,0,0,0,1,0,0
2022-01-08,0,502,502. 뚝섬유원지역 1번출구 앞,1,1,8,5,108,서울,2022-01-08 00:00:00,-2.8,0.0,0.7,55,0,0,0,0,0,1,0
2022-01-08,1,502,502. 뚝섬유원지역 1번출구 앞,1,1,8,5,108,서울,2022-01-08 01:00:00,-3.1,0.0,0.8,54,0,0,0,0,0,1,0
2022-01-08,8,502,502. 뚝섬유원지역 1번출구 앞,3,1,8,5,108,서울,2022-01-08 08:00:00,-4.9,0.0,2.3,61,0,0,0,0,0,1,0
2022-01-08,9,502,502. 뚝섬유원지역 1번출구 앞,2,1,8,5,108,서울,2022-01-08 09:00:00,-4.0,0.0,2.2,60,0,0,0,0,0,1,0
2022-01-08,10,502,502. 뚝섬유원지역 1번출구 앞,2,1,8,5,108,서울,2022-01-08 10:00:00,-2.4,0.0,2.1,58,0,0,0,0,0,1,0
2022-01-08,12,502,502. 뚝섬유원지역 1번출구 앞,3,1,8,5,108,서울,2022-01-08 12:00:00,0.6,0.0,1.2,50,0,0,0,0,0,1,0
2022-01-08,13,502,502. 뚝섬유원지역 1번출구 앞,7,1,8,5,108,서울,2022-01-08 13:00:00,2.3,0.0,1.1,52,0,0,0,0,0,1,0
2022-01-08,14,502,502. 뚝섬유원지역 1번출구 앞,7,1,8,5,108,서울,2022-01-08 14:00:00,3.1,0.0,0.6,53,0,0,0,0,0,1,0
2022-01-08,15,502,502. 뚝섬유원지역 1번출구 앞,18,1,8,5,108,서울,2022-01-08 15:00:00,3.2,0.0,1.8,65,0,0,0,0,0,1,0
2022-01-08,16,502,502. 뚝섬유원지역 1번출구 앞,11,1,8,5,108,서울,2022-01-08 16:00:00,3.5,0.0,2.6,72,0,0,0,0,0,1,0
2022-01-08,17,502,502. 뚝섬유원지역 1번출구 앞,7,1,8,5,108,서울,2022-01-08 17:00:00,3.7,0.0,2.8,71,0,0,0,0,0,1,0
2022-01-08,18,502,502. 뚝섬유원지역 1번출구 앞,9,1,8,5,108,서울,2022-01-08 18:00:00,3.6,0.0,2.3,72,0,0,0,0,0,1,0
2022-01-08,19,502,502. 뚝섬유원지역 1번출구 앞,1,1,8,5,108,서울,2022-01-08 19:00:00,3.6,0.0,2.3,74,0,0,0,0,0,1,0
2022-01-08,20,502,502. 뚝섬유원지역 1번출구 앞,3,1,8,5,108,서울,2022-01-08 20:00:00,3.3,0.0,1.5,76,0,0,0,0,0,1,0
